ID,URL,Title,Difficulty,Acceptance %,Frequency %
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.2%,87.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,100.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.1%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.0%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,100.0%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,48.0%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.4%,87.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.4%,75.0%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,75.5%,87.5%
518,https://leetcode.com/problems/coin-change-ii,Coin Change II,Medium,60.0%,75.0%
